analytics_api.freshness
api_contributions_unique_key_recurring_upsells.enqueue
apple_pay.post.95percentile
apple_pay.post.avg
apple_pay.post.count
apple_pay.post.max
apple_pay.post.median
auth_latency.95percentile
auth_latency.avg
auth_latency.count
auth_latency.max
auth_latency.median
authorizations.approved.count
authorizations.declined.count
authorizations.error.count
authorizations.latency.95percentile
authorizations.latency.avg
authorizations.latency.count
authorizations.latency.max
authorizations.latency.median
authorizations.pending.gauge
aws.advisor.service_limit.max
aws.advisor.service_limit.usage
aws.advisor.service_limit.usage_ratio
aws.apigateway.4xxerror
aws.apigateway.4xxerror.p50
aws.apigateway.4xxerror.p75
aws.apigateway.4xxerror.p90
aws.apigateway.4xxerror.p95
aws.apigateway.4xxerror.p99
aws.apigateway.5xxerror
aws.apigateway.5xxerror.p50
aws.apigateway.5xxerror.p75
aws.apigateway.5xxerror.p90
aws.apigateway.5xxerror.p95
aws.apigateway.5xxerror.p99
aws.apigateway.count
aws.apigateway.count.p50
aws.apigateway.count.p75
aws.apigateway.count.p90
aws.apigateway.count.p95
aws.apigateway.count.p99
aws.apigateway.integration_latency
aws.apigateway.integration_latency.maximum
aws.apigateway.integration_latency.minimum
aws.apigateway.integration_latency.p50
aws.apigateway.integration_latency.p75
aws.apigateway.integration_latency.p90
aws.apigateway.integration_latency.p95
aws.apigateway.integration_latency.p99
aws.apigateway.latency
aws.apigateway.latency.maximum
aws.apigateway.latency.minimum
aws.apigateway.latency.p50
aws.apigateway.latency.p75
aws.apigateway.latency.p90
aws.apigateway.latency.p95
aws.apigateway.latency.p99
aws.applicationelb.active_connection_count
aws.applicationelb.client_tlsnegotiation_error_count
aws.applicationelb.consumed_lcus
aws.applicationelb.desync_mitigation_mode_non_compliant_request
aws.applicationelb.forwarded_invalid_header_request_count
aws.applicationelb.healthy_host_count
aws.applicationelb.healthy_host_count.maximum
aws.applicationelb.healthy_host_count.minimum
aws.applicationelb.healthy_host_count_deduped
aws.applicationelb.healthy_state_dns
aws.applicationelb.healthy_state_routing
aws.applicationelb.httpcode_elb_4xx
aws.applicationelb.httpcode_elb_5_0_2
aws.applicationelb.httpcode_elb_5_0_3
aws.applicationelb.httpcode_elb_5_0_4
aws.applicationelb.httpcode_elb_5xx
aws.applicationelb.httpcode_target_2xx
aws.applicationelb.httpcode_target_3xx
aws.applicationelb.httpcode_target_4xx
aws.applicationelb.httpcode_target_5xx
aws.applicationelb.httpfixed_response
aws.applicationelb.new_connection_count
aws.applicationelb.processed_bytes
aws.applicationelb.request_count
aws.applicationelb.request_count_per_target
aws.applicationelb.rule_evaluations
aws.applicationelb.target_connection_error_count
aws.applicationelb.target_response_time.average
aws.applicationelb.target_response_time.maximum
aws.applicationelb.target_response_time.p50
aws.applicationelb.target_response_time.p90
aws.applicationelb.target_response_time.p95
aws.applicationelb.target_response_time.p99
aws.applicationelb.un_healthy_host_count
aws.applicationelb.un_healthy_host_count.maximum
aws.applicationelb.un_healthy_host_count.minimum
aws.applicationelb.un_healthy_host_count_deduped
aws.applicationelb.unhealthy_routing_request_count
aws.applicationelb.unhealthy_state_dns
aws.applicationelb.unhealthy_state_routing
aws.autoscaling.group_desired_capacity
aws.autoscaling.group_in_service_instances
aws.autoscaling.group_max_size
aws.autoscaling.group_min_size
aws.autoscaling.group_pending_instances
aws.autoscaling.group_standby_instances
aws.autoscaling.group_terminating_instances
aws.autoscaling.group_total_instances
aws.certificatemanager.days_to_expiry
aws.cloudfront.4xx_error_rate
aws.cloudfront.5xx_error_rate
aws.cloudfront.bytes_downloaded
aws.cloudfront.bytes_uploaded
aws.cloudfront.requests
aws.cloudfront.total_error_rate
aws.dms.available_memory
aws.dms.cdcchanges_disk_source
aws.dms.cdcchanges_disk_target
aws.dms.cdcchanges_memory_source
aws.dms.cdcchanges_memory_target
aws.dms.cdcincoming_changes
aws.dms.cdclatency_source
aws.dms.cdclatency_target
aws.dms.cdcthroughput_bandwidth_source
aws.dms.cdcthroughput_bandwidth_target
aws.dms.cdcthroughput_rows_source
aws.dms.cdcthroughput_rows_target
aws.dms.cpuallocated
aws.dms.cpuutilization
aws.dms.disk_queue_depth
aws.dms.free_memory
aws.dms.free_storage_space
aws.dms.freeable_memory
aws.dms.full_load_throughput_bandwidth_source
aws.dms.full_load_throughput_bandwidth_target
aws.dms.full_load_throughput_rows_source
aws.dms.full_load_throughput_rows_target
aws.dms.memory_allocated
aws.dms.memory_allocated_bytes
aws.dms.memory_usage
aws.dms.memory_usage_bytes
aws.dms.network_receive_throughput
aws.dms.network_transmit_throughput
aws.dms.read_iops
aws.dms.read_latency
aws.dms.read_throughput
aws.dms.recovery_count
aws.dms.run_counter
aws.dms.service_cpuutilization
aws.dms.service_memory_usage
aws.dms.swap_usage
aws.dms.total_bytes_read
aws.dms.total_bytes_written
aws.dms.write_iops
aws.dms.write_latency
aws.dms.write_throughput
aws.dynamodb.account_max_reads
aws.dynamodb.account_max_table_level_reads
aws.dynamodb.account_max_table_level_writes
aws.dynamodb.account_max_writes
aws.dynamodb.account_provisioned_read_capacity_utilization
aws.dynamodb.account_provisioned_read_capacity_utilization.maximum
aws.dynamodb.account_provisioned_read_capacity_utilization.minimum
aws.dynamodb.account_provisioned_write_capacity_utilization
aws.dynamodb.account_provisioned_write_capacity_utilization.maximum
aws.dynamodb.account_provisioned_write_capacity_utilization.minimum
aws.dynamodb.consumed_read_capacity_units
aws.dynamodb.consumed_write_capacity_units
aws.dynamodb.item_count
aws.dynamodb.max_provisioned_table_read_capacity_utilization
aws.dynamodb.max_provisioned_table_read_capacity_utilization.maximum
aws.dynamodb.max_provisioned_table_read_capacity_utilization.minimum
aws.dynamodb.max_provisioned_table_write_capacity_utilization
aws.dynamodb.max_provisioned_table_write_capacity_utilization.maximum
aws.dynamodb.max_provisioned_table_write_capacity_utilization.minimum
aws.dynamodb.provisioned_read_capacity_units
aws.dynamodb.provisioned_write_capacity_units
aws.dynamodb.returned_item_count
aws.dynamodb.returned_item_count.maximum
aws.dynamodb.returned_item_count.minimum
aws.dynamodb.returned_item_count.samplecount
aws.dynamodb.returned_item_count.sum
aws.dynamodb.successful_request_latency
aws.dynamodb.successful_request_latency.maximum
aws.dynamodb.successful_request_latency.minimum
aws.dynamodb.successful_request_latency.samplecount
aws.dynamodb.table_size
aws.ebs.burst_balance
aws.ebs.snapshot_age
aws.ebs.status.ok
aws.ebs.volume_idle_time
aws.ebs.volume_queue_length
aws.ebs.volume_read_bytes
aws.ebs.volume_read_bytes.sum
aws.ebs.volume_read_ops
aws.ebs.volume_total_read_time
aws.ebs.volume_total_read_time.sum
aws.ebs.volume_total_write_time
aws.ebs.volume_total_write_time.sum
aws.ebs.volume_write_bytes
aws.ebs.volume_write_bytes.sum
aws.ebs.volume_write_ops
aws.ec2.cpucredit_balance
aws.ec2.cpucredit_usage
aws.ec2.cpusurplus_credit_balance
aws.ec2.cpusurplus_credits_charged
aws.ec2.cpuutilization
aws.ec2.cpuutilization.maximum
aws.ec2.disk_read_bytes
aws.ec2.disk_read_ops
aws.ec2.disk_write_bytes
aws.ec2.disk_write_ops
aws.ec2.ebsbyte_balance
aws.ec2.ebsiobalance
aws.ec2.ebsread_bytes
aws.ec2.ebsread_bytes.sum
aws.ec2.ebsread_ops
aws.ec2.ebsread_ops.sum
aws.ec2.ebswrite_bytes
aws.ec2.ebswrite_bytes.sum
aws.ec2.ebswrite_ops
aws.ec2.ebswrite_ops.sum
aws.ec2.host_ok
aws.ec2.metadata_no_token
aws.ec2.network_in
aws.ec2.network_in.maximum
aws.ec2.network_out
aws.ec2.network_out.maximum
aws.ec2.network_packets_in
aws.ec2.network_packets_out
aws.ec2.status_check_failed
aws.ec2.status_check_failed_instance
aws.ec2.status_check_failed_system
aws.ecs.services
aws.elasticache.active_defrag_hits
aws.elasticache.authentication_failures
aws.elasticache.bytes_used_for_cache
aws.elasticache.cache_hit_rate
aws.elasticache.cache_hits
aws.elasticache.cache_misses
aws.elasticache.cluster_count
aws.elasticache.command_authorization_failures
aws.elasticache.cpucredit_balance
aws.elasticache.cpucredit_usage
aws.elasticache.cpuutilization
aws.elasticache.curr_connections
aws.elasticache.curr_items
aws.elasticache.curr_volatile_items
aws.elasticache.database_capacity_usage_percentage
aws.elasticache.database_memory_usage_percentage
aws.elasticache.db_0average_ttl
